,x,y,z,lon,lat,exhumeRate,exRateErr,ageMean,ageMeanSerr
0,637165.5681806996,2036661.9675443333,2466.4285714285716,168.92271726012996,-71.73054211158617,89.07980530517541,117.724858415578,60.59999999999999,5.41725637815552
1,638630.159947198,2043124.6490102024,2267.0,168.9523889228151,-71.67188134684108,69.57875320195612,69.4706131838961,59.09999999999999,5.83495215633056
2,631335.7660148324,2031397.3047165188,2942.285714285714,168.76584566421914,-71.78096432510284,124.29404581872969,121.40964786879621,78.87142857142858,10.494164235097394
3,638344.7537164044,2029028.6007577537,2622.285714285714,168.97068648808016,-71.79812553270204,55.29445630599743,15.951080703249042,59.25714285714287,5.176359133363045
4,664690.166340236,2027194.3262764774,2020.857142857143,169.72795523893456,-71.79750694430551,29.15380952471061,19.19355538336777,45.58571428571429,4.380879916584957
5,656255.0041053778,2025104.9364359076,2210.1428571428573,169.49122274897223,-71.82195262299305,138.53696388310456,219.3243078245311,43.22857142857142,3.4998445057781984
6,648323.3645582784,2024401.3624923143,2484.4285714285716,169.26549415212736,-71.8334000514154,44.88882323918475,6.951211172320186,50.34285714285715,2.8038117883013625
7,641472.1923169579,2028730.9621577018,2463.1428571428573,169.06074008489793,-71.79892212863925,51.48151710066052,9.892620585464043,56.8,4.315972549451519
8,665544.3458979635,2025566.8289703564,2075.1428571428573,169.7560473125817,-71.81144680531848,58.42927023663792,49.709981648252764,41.84285714285715,3.995763062167173
9,664406.6761400908,2024669.0174973875,2104.4285714285716,169.72552062454793,-71.82026942175342,35.851187882698646,21.17601070571442,43.957142857142856,4.730692949485616
10,670742.9186049786,2032170.9474078496,1437.2857142857142,169.889374886674,-71.7487254040033,45.37902954987215,17.429902665371113,41.49999999999999,4.056446955743647
11,670742.9186049786,2032170.9474078496,1437.2857142857142,169.889374886674,-71.7487254040033,45.37902955055922,17.429902665752444,41.49999999999999,4.056446955743647
12,660738.7371932872,2021155.9783687438,2415.5714285714284,169.62826864073156,-71.85420811488672,35.11571459756414,19.359791813344483,42.61428571428571,4.205972429965827
13,661975.8782897523,2022406.2245866058,2347.5714285714284,169.66096443108376,-71.8421825237624,33.883233423553854,14.387983934075663,44.15714285714285,4.811338648633738
14,661975.8782897523,2022406.2245866058,2347.5714285714284,169.66096443108376,-71.8421825237624,33.88323342355386,14.387983934075667,44.15714285714285,4.811338648633738
15,665544.3458979635,2025566.8289703564,2075.1428571428573,169.7560473125817,-71.81144680531848,58.42927023663795,49.709981648252906,41.84285714285715,3.995763062167173
16,657040.8660359296,2052796.6289274113,1045.142857142857,169.45507331591637,-71.57391600972923,102.14767419947415,104.16560778634951,41.6,4.3234686251181405
17,645337.911359486,2050033.0703580913,1583.0,169.1295604771093,-71.60607488208115,65.2833052718811,35.5180743017852,47.42857142857143,4.505431340573935
18,618544.5758173482,2082224.934967781,988.5714285714286,168.31989284274914,-71.33285091093946,62.969669084255905,27.827056407693348,47.214285714285715,5.5311855515289094
19,667180.3597956009,2014669.2167787533,1846.0,169.8278569128408,-71.90764230534809,44.262168456224735,17.263173022954042,39.785714285714285,4.470081951492749
