nLocal,ageBin,nBinned,ageMean,ageMeanErr,exRate,exRateErr,ageGrad,ageGradErr
6,30.5,16.0,31.29375000000001,0.23060846949690195,184.82696850127866,10.745428214804138,0.005410465843317026,0.00031455243138725524
6,35.5,1.0,37.88333333333333,,370.4433763224966,,0.0026994678914961374,
6,40.5,6.0,42.12777777777777,0.3203489609630773,38.76410097304836,3.4799228540653004,0.025797064162413397,0.0023158487077770034
6,45.5,9.0,46.51481481481481,0.36656611041652293,233.06780931116222,69.11207651967507,0.00429059681367206,0.0012722994916285753
6,50.5,2.0,50.641666666666666,1.7583333333333364,50.04155438078024,4.573037378278478,0.01998339205034918,0.0018261782616836237
6,55.5,1.0,53.06666666666666,,50.858782908008756,,0.019662287275115455,
6,60.5,5.0,60.67333333333333,0.6947141698409333,53.01679095080043,2.1376587784492083,0.018861948866878794,0.0007605215225372823
6,65.5,1.0,65.05,,50.00403402250045,,0.01999838652117602,
6,70.5,0.0,,,,,,
6,75.5,5.0,76.74333333333333,0.6499059761056047,41.575167357415985,4.643871980879438,0.02405281959307915,0.0026866570135291117
6,80.5,4.0,79.83333333333333,0.0,58.70917765092071,3.05233149873975e-11,0.017033112028001937,8.855634918575268e-15
6,85.5,0.0,,,,,,
6,90.5,0.0,,,,,,
6,95.5,0.0,,,,,,
7,30.5,7.0,29.969387755102044,0.3632194421861352,253.91492092467257,5.9425274051707735,0.003938327044186049,9.217109536285903e-05
7,35.5,6.0,34.49285714285714,0.41632911497130354,216.5391228765759,16.47006197149183,0.004618103124810315,0.00035125497714202567
7,40.5,8.0,41.29642857142857,0.35412757744613965,47.079460079297576,2.7558905849092663,0.021240685392646074,0.0012433661047092973
7,45.5,12.0,45.29523809523808,0.4093085611708903,168.5251933866117,51.86438037820262,0.0059338309003207105,0.0018261629417516813
7,50.5,1.0,50.34285714285715,,44.88882323918475,,0.02227726030311864,
7,55.5,2.0,55.135714285714286,1.664285714285711,56.10505380856567,4.623536707905149,0.01782370628164923,0.0014688259732413506
7,60.5,3.0,59.20476190476191,0.05238095238095871,60.05588860555158,4.76143229820227,0.016651156501371955,0.0013201595415361846
7,65.5,1.0,64.9,,47.01882904555058,,0.021268075371065214,
7,70.5,2.0,69.72142857142856,1.4642857142857153,48.47598652044045,6.258921800235662,0.020628770485740165,0.002663460211393837
7,75.5,5.0,76.10857142857144,0.6310438388342077,52.093081774946164,3.912351449677218,0.019196407006984634,0.001441709498140895
7,80.5,8.0,82.24642857142858,0.29578858871299907,49.53770199191976,6.710993938447267,0.02018664491467757,0.00273473427738101
7,85.5,0.0,,,,,,
7,90.5,0.0,,,,,,
7,95.5,0.0,,,,,,
8,30.5,8.0,29.80625,0.2267048506003219,306.51540721848136,22.412367117699567,0.0032624787415244326,0.00023855202559725454
8,35.5,6.0,35.875,0.1875,203.10997796546408,9.779312431799099,0.004923441034344633,0.00023705318959063218
8,40.5,9.0,41.76111111111111,0.5512511197883417,210.17149375836524,60.51805560103687,0.0047580191876530255,0.0013700529248759038
8,45.5,9.0,44.025,0.15064963491492425,47.34928351975624,2.7370717910719033,0.021119643755174358,0.0012208417290127816
8,50.5,4.0,50.36875,0.8180022030328921,64.22061215516729,8.411956369468792,0.015571324633029654,0.002039614681831413
8,55.5,1.0,56.9375,,31.21368247311464,,0.032037232417589066,
8,60.5,3.0,59.862500000000004,0.3391932831489043,56.00084748643031,5.920586476130183,0.01785687261683517,0.0018878849743627845
8,65.5,1.0,67.175,,55.3375888471527,,0.01807089938020408,
8,70.5,4.0,71.640625,0.42897573625051055,36.234794166377355,6.142730638812908,0.027597783373857564,0.0046785349108239465
8,75.5,5.0,77.1775,0.19749999999999943,31.758130584682313,2.9601400633709773,0.0314879995009002,0.0029349614452110367
8,80.5,4.0,79.46875,0.9562500000000008,53.19028964984,11.866597559652424,0.0188004240357245,0.004194319441601879
8,85.5,0.0,,,,,,
8,90.5,2.0,91.75,0.0,49.22103580716521,2.385611708442288e-10,0.020316516781924934,9.846871264474461e-14
8,95.5,0.0,,,,,,
9,30.5,8.0,29.290277777777778,0.22615018089974595,366.9627195554001,24.149947492977123,0.0027250724575280205,0.0001793379906372873
9,35.5,6.0,37.02962962962963,0.014814814814814763,385.2486508443446,15.736208817030692,0.0025957261571411417,0.00010602733780138625
9,40.5,7.0,40.96349206349206,0.15249664919968742,243.94317057541554,68.51296399856068,0.004099315416952195,0.0011513183538522684
9,45.5,12.0,44.45185185185184,0.28918119546566196,53.172528252682575,6.173500510634264,0.018806704004140515,0.0021835184556425807
9,50.5,1.0,49.54444444444445,,41.68787226989897,,0.023987791785719352,
9,55.5,3.0,53.718518518518515,0.24914118605692367,74.53602911796803,6.376199682223661,0.013416330489209479,0.0011477027045070094
9,60.5,5.0,59.728888888888875,0.6933333333333328,46.29088747587286,3.649508309229919,0.021602523834117614,0.0017031125245555259
9,65.5,2.0,65.85,1.25,74.38606629999089,19.42997009263135,0.013443377903156072,0.003511469870564935
9,70.5,4.0,69.52222222222223,0.6606985952345109,41.29448057925193,7.61629947610675,0.024216311380423117,0.004466424497723896
9,75.5,10.0,75.51000000000002,0.24333333333333104,49.86279092388296,1.9584039873100136,0.020055034655531614,0.0007876787301174014
9,80.5,0.0,,,,,,
9,85.5,1.0,85.85555555555555,,18.792589736779693,,0.053212463742709284,
9,90.5,0.0,,,,,,
9,95.5,0.0,,,,,,
10,30.5,12.0,29.397499999999997,0.11661984991389518,322.4230063827968,23.341317925267987,0.0031015156493291603,0.00022452945784903682
