nMin,nMax,ageBin,ageMean,ageMeanErr,exRate,exRateErr,ageGrad,ageGradErr,Lm_mean,Lm_err,sd_mean,sd_err
6.0,17.0,30.5,30.46444948342055,0.808204111624542,299.82999545324043,45.89934236750469,0.0033352233437763,0.0005105711918404,14.290462045756792,0.08879288519403516,1.4476891665707592,0.05676419839443917
6.0,17.0,35.5,36.1262383946788,0.912424023993334,330.8470001875324,95.86042894795229,0.0030225451626678,0.0008757597186725,14.183724143210727,0.06564438210842839,1.5597799812725248,0.057191415709063664
6.0,17.0,40.5,41.058352509047694,1.139774695563309,134.08296780794294,85.05042317255257,0.0074580688088018,0.0047307418578859,14.063355244932922,0.06942091102345388,1.7048742700489716,0.06358734951909845
6.0,17.0,45.5,44.84700737222852,0.6656319223653446,112.95106466067936,59.98404363062284,0.0088533915373364,0.0047017018020145,13.968293976405546,0.08309307758101543,1.7813752000812393,0.08124434309936063
6.0,17.0,50.5,50.996705762919,0.8333505717758681,60.50054872957471,13.842765122528409,0.0165287757053212,0.0037818493328783,13.812236903694377,0.11255900421725978,1.8819467625032078,0.11851049524726555
6.0,17.0,55.5,55.35922522622457,1.303490309466888,57.17057661525038,11.91948338926738,0.0174915150275613,0.003646802869022,13.666551107136534,0.13151563585986048,1.9360574987523544,0.1285044307236068
6.0,17.0,60.5,60.64680867882799,0.9070913966385056,53.35333720268997,7.034718115022178,0.0187429700264294,0.002471288914381,13.437964593261498,0.15159854692321675,1.9760201760032352,0.1161718545195949
6.0,17.0,65.5,65.30739140149066,0.8501772928787782,51.12568002886417,8.520205581675624,0.01955964203186,0.003259656812806,13.26213747895061,0.16444286557212565,2.01799558553513,0.11060711417822885
6.0,17.0,70.5,70.04094193615028,1.4426110587915744,45.03340281951738,8.75514406680568,0.0222057392377775,0.0043171164949676,13.148074800897128,0.1652728294783669,2.0776077571176508,0.1182980871899518
6.0,17.0,75.5,75.98277210884353,1.063614971681526,38.505531716211614,13.447426321060222,0.0259702945376801,0.0090697000344148,13.028801832213247,0.190585653394053,2.1069965626734075,0.13445612567111456
6.0,17.0,80.5,80.38281801735846,1.1193861208013007,32.69286913085166,17.226571745869037,0.0305877099987017,0.0161173183890803,12.987592943039845,0.25716646505222895,2.0392012933881323,0.15924008972763826
